country,championate,title,date,result,book,home_open_odds,home_close_odds,draw_open_odds,draw_close_odds,away_open_odds,away_close_odds
Slovenia,Prva liga 2013/2014,Domzale - O. Ljubljana,"Saturday, 09 Nov 2013, 17:30",1:2,Marathonbet,2.12,2.25,3.4,3.3,3.4,3.2
Slovenia,Prva liga 2013/2014,Domzale - O. Ljubljana,"Saturday, 09 Nov 2013, 17:30",1:2,Pinnacle,2.49,2.56,3.37,3.26,2.92,2.92
Italy,Serie B 2012/2013,Padova - Spezia,"Saturday, 11 May 2013, 14:00",1:1,Marathonbet,2.4,2.45,2.8,2.29,3.5,4.65
Sweden,Allsvenskan 2014,Malmo FF - Atvidabergs,"Saturday, 12 Jul 2014, 16:30",3:0,Marathonbet,1.4,1.36,4.8,5.3,9.7,9.7
Sweden,Allsvenskan 2014,Malmo FF - Atvidabergs,"Saturday, 12 Jul 2014, 16:30",3:0,Pinnacle,1.42,1.35,4.73,5.34,8.8,10.16
England,Premier League 2017/2018,Chelsea - West Ham,"Sunday, 08 Apr 2018, 15:30",1:1,Asianodds,1.27,1.31,5.4,5.9,9.0,12.0
England,Premier League 2017/2018,Chelsea - West Ham,"Sunday, 08 Apr 2018, 15:30",1:1,Marathonbet,1.39,1.33,5.1,5.7,10.0,11.5
England,Premier League 2017/2018,Chelsea - West Ham,"Sunday, 08 Apr 2018, 15:30",1:1,Pinnacle,1.27,1.31,6.02,5.85,12.89,11.4
Sweden,Allsvenskan 2016,Jonkopings - Goteborg,"Sunday, 31 Jul 2016, 13:00",1:1,Marathonbet,4.2,4.45,3.65,3.82,1.95,1.86
Sweden,Allsvenskan 2016,Jonkopings - Goteborg,"Sunday, 31 Jul 2016, 13:00",1:1,Pinnacle,4.38,4.5,3.82,3.82,1.87,1.85
Denmark,NordicBet Ligaen 2013/2014,Horsens - AB Copenhagen,"Sunday, 20 Apr 2014, 13:30",0:0,Marathonbet,1.42,1.4,5.1,5.4,7.0,7.0
Denmark,NordicBet Ligaen 2013/2014,Horsens - AB Copenhagen,"Sunday, 20 Apr 2014, 13:30",0:0,Pinnacle,1.42,1.41,4.77,5.05,8.34,8.05
England,Premier League 2015/2016,Tottenham - Norwich,"Saturday, 26 Dec 2015, 15:00",3:0,Marathonbet,1.46,1.46,4.7,4.75,8.5,8.3
England,Premier League 2015/2016,Tottenham - Norwich,"Saturday, 26 Dec 2015, 15:00",3:0,Pinnacle,1.43,1.47,4.78,4.54,8.14,8.4
Turkey,Super Lig 2010/2011,Genclerbirligi - Antalyaspor,"Sunday, 17 Oct 2010, 13:30",2:3,Pinnacle,2.5,2.36,3.21,3.3,3.11,3.36
Poland,Ekstraklasa 2014/2015,Wisla - GKS Belchatow,"Friday, 29 Aug 2014, 19:30",1:0,Marathonbet,1.9,2.02,3.6,3.45,4.5,4.15
Poland,Ekstraklasa 2014/2015,Wisla - GKS Belchatow,"Friday, 29 Aug 2014, 19:30",1:0,Pinnacle,1.91,1.97,3.49,3.54,4.54,4.24
England,Championship 2011/2012,Cardiff - West Ham,"Thursday, 03 May 2012, 19:45",0:2,Pinnacle,2.79,2.99,3.29,3.32,2.76,2.6
Scotland,Premier League 2011/2012,Motherwell - St Johnstone,"Saturday, 28 Jan 2012, 16:00",3:2,Pinnacle,2.27,2.56,3.26,3.24,3.58,3.09
Ukraine,Premier League 2013/2014,FK Zorya Luhansk - Volyn Lutsk,"Saturday, 28 Sep 2013, 14:00",2:0,Marathonbet,1.91,1.87,3.5,3.4,4.5,4.9
Ukraine,Premier League 2013/2014,FK Zorya Luhansk - Volyn Lutsk,"Saturday, 28 Sep 2013, 14:00",2:0,Pinnacle,1.93,1.84,3.4,3.46,4.52,4.94
Netherlands,Eerste Divisie 2015/2016,G.A. Eagles - Almere City,"Friday, 23 Oct 2015, 18:00",4:1,Marathonbet,1.38,1.61,5.4,4.5,8.6,5.5
Netherlands,Eerste Divisie 2015/2016,G.A. Eagles - Almere City,"Friday, 23 Oct 2015, 18:00",4:1,Pinnacle,1.48,1.62,4.88,4.38,6.7,5.54
Portugal,LigaPro 2019/2020,Feirense - Academica,"Saturday, 29 Feb 2020, 17:15",1:0,Asianodds,2.16,1.93,3.14,3.4,3.77,4.49
