country,championate,title,date,result,book,home_open_odds,home_close_odds,draw_open_odds,draw_close_odds,away_open_odds,away_close_odds
France,Ligue 1 2019/2020,Amiens - Nantes,"Saturday, 24 Aug 2019, 18:00",1:2,Marathonbet,2.6,2.88,3.22,3.04,3.02,2.86
France,Ligue 1 2019/2020,Amiens - Nantes,"Saturday, 24 Aug 2019, 18:00",1:2,Pinnacle,2.68,2.87,3.19,3.01,2.92,2.87
Sweden,Superettan 2017,Helsingborg - Dalkurd,"Tuesday, 05 Sep 2017, 17:00",2:2,Asianodds,3.12,2.92,2.4,3.4,3.55,2.57
Sweden,Superettan 2017,Helsingborg - Dalkurd,"Tuesday, 05 Sep 2017, 17:00",2:2,Marathonbet,3.2,2.91,3.42,3.4,2.38,2.58
Sweden,Superettan 2017,Helsingborg - Dalkurd,"Tuesday, 05 Sep 2017, 17:00",2:2,Pinnacle,3.12,2.92,3.55,3.4,2.36,2.57
Turkey,Super Lig 2011/2012,Besiktas - Antalyaspor,"Sunday, 25 Sep 2011, 18:00",1:0,Pinnacle,1.51,1.57,4.43,4.08,7.13,6.79
Brazil,Série A 2013,Botafogo RJ - Atletico-MG,"Saturday, 26 Oct 2013, 21:30",1:0,Marathonbet,1.95,2.35,3.4,3.4,4.55,3.25
Brazil,Série A 2013,Botafogo RJ - Atletico-MG,"Saturday, 26 Oct 2013, 21:30",1:0,Pinnacle,2.17,2.41,3.37,3.37,3.66,3.19
Denmark,Superliga 2017/2018,Lyngby - Silkeborg,"Sunday, 06 May 2018, 18:00",2:1,Asianodds,3.5,3.31,3.2,3.46,2.07,2.34
Denmark,Superliga 2017/2018,Lyngby - Silkeborg,"Sunday, 06 May 2018, 18:00",2:1,Marathonbet,2.42,3.4,3.45,3.35,3.1,2.31
Denmark,Superliga 2017/2018,Lyngby - Silkeborg,"Sunday, 06 May 2018, 18:00",2:1,Pinnacle,3.68,3.17,3.46,3.39,2.12,2.36
Turkey,Super Lig 2019/2020,Galatasaray - Yeni Malatyaspor,"Sunday, 16 Feb 2020, 16:00",1:0,Asianodds,1.31,1.48,4.75,4.8,6.8,6.8
Turkey,Super Lig 2019/2020,Galatasaray - Yeni Malatyaspor,"Sunday, 16 Feb 2020, 16:00",1:0,Marathonbet,1.29,1.45,5.2,4.7,8.8,5.6
Turkey,Super Lig 2019/2020,Galatasaray - Yeni Malatyaspor,"Sunday, 16 Feb 2020, 16:00",1:0,Pinnacle,1.28,1.48,5.64,4.58,11.6,6.79
Poland,Ekstraklasa 2017/2018,Wisla Plock - Arka Gdynia,"Saturday, 02 Dec 2017, 14:30",2:0,Asianodds,2.22,2.3,3.15,3.3,3.2,3.49
Poland,Ekstraklasa 2017/2018,Wisla Plock - Arka Gdynia,"Saturday, 02 Dec 2017, 14:30",2:0,Marathonbet,2.26,2.3,3.34,3.32,3.52,3.45
Poland,Ekstraklasa 2017/2018,Wisla Plock - Arka Gdynia,"Saturday, 02 Dec 2017, 14:30",2:0,Pinnacle,2.25,2.3,3.43,3.28,3.45,3.49
Russia,FNL 2014/2015,Tomsk - FK Anzi Makhackala,"Sunday, 05 Oct 2014, 09:00",1:0,Marathonbet,2.6,2.25,3.3,3.3,2.74,3.3
Argentina,Primera Division 2016,Lanus - Aldosivi,"Sunday, 08 May 2016, 19:15",2:0,Marathonbet,1.39,1.44,5.1,4.6,9.1,8.8
Argentina,Primera Division 2016,Lanus - Aldosivi,"Sunday, 08 May 2016, 19:15",2:0,Pinnacle,1.47,1.47,4.31,4.38,9.05,8.62
Sweden,Superettan 2015,GAIS - Varnamo,"Tuesday, 11 Aug 2015, 17:30",1:3,Marathonbet,2.0,1.78,3.5,4.0,4.15,4.7
Sweden,Superettan 2015,GAIS - Varnamo,"Tuesday, 11 Aug 2015, 17:30",1:3,Pinnacle,1.95,1.79,3.73,3.94,4.0,4.71
China,Super League 2013,Guangzhou Evergrande - Dalian Pro,"Monday, 12 Aug 2013, 13:00",3:0,Marathonbet,1.18,1.22,7.2,7.1,18.0,12.0
China,Super League 2013,Guangzhou Evergrande - Dalian Pro,"Monday, 12 Aug 2013, 13:00",3:0,Pinnacle,1.25,1.22,6.52,6.95,12.35,12.71
Italy,Serie A 2018/2019,Sampdoria - AC Milan,"Saturday, 30 Mar 2019, 19:30",1:0,Asianodds,4.28,3.09,3.52,3.27,1.93,2.53
Italy,Serie A 2018/2019,Sampdoria - AC Milan,"Saturday, 30 Mar 2019, 19:30",1:0,Marathonbet,3.6,3.08,3.16,3.26,2.32,2.53
Italy,Serie A 2018/2019,Sampdoria - AC Milan,"Saturday, 30 Mar 2019, 19:30",1:0,Pinnacle,4.28,3.09,3.52,3.27,1.93,2.53
Belgium,Proximus League 2018/2019,Beerschot VA - Westerlo,"Friday, 10 Aug 2018, 18:30",1:1,Asianodds,2.06,2.18,3.53,3.36,3.64,3.57
Belgium,Proximus League 2018/2019,Beerschot VA - Westerlo,"Friday, 10 Aug 2018, 18:30",1:1,Marathonbet,2.38,2.21,3.38,3.3,3.18,3.62
Belgium,Proximus League 2018/2019,Beerschot VA - Westerlo,"Friday, 10 Aug 2018, 18:30",1:1,Pinnacle,2.05,2.18,3.52,3.36,3.67,3.57
South Korea,K League 1 2019,Pohang - Jeju Utd,"Tuesday, 24 Sep 2019, 10:30",2:1,Asianodds,1.8,2.07,3.7,3.56,3.95,3.8
South Korea,K League 1 2019,Pohang - Jeju Utd,"Tuesday, 24 Sep 2019, 10:30",2:1,Marathonbet,1.76,2.07,3.84,3.56,4.55,3.5
South Korea,K League 1 2019,Pohang - Jeju Utd,"Tuesday, 24 Sep 2019, 10:30",2:1,Pinnacle,1.99,2.03,3.57,3.56,3.89,3.75
Croatia,1. HNL 2018/2019,Osijek - D. Zagreb,"Sunday, 04 Nov 2018, 16:30",0:2,Asianodds,4.47,3.98,3.62,3.41,1.82,2.02
Croatia,1. HNL 2018/2019,Osijek - D. Zagreb,"Sunday, 04 Nov 2018, 16:30",0:2,Marathonbet,4.5,3.96,3.52,3.36,1.81,1.97
Croatia,1. HNL 2018/2019,Osijek - D. Zagreb,"Sunday, 04 Nov 2018, 16:30",0:2,Pinnacle,4.47,3.98,3.62,3.41,1.82,2.02
Portugal,LigaPro 2017/2018,U. Madeira - Braga B,"Sunday, 14 Jan 2018, 15:00",1:1,Asianodds,2.05,2.18,3.25,3.25,3.25,3.55
Portugal,LigaPro 2017/2018,U. Madeira - Braga B,"Sunday, 14 Jan 2018, 15:00",1:1,Marathonbet,1.85,2.16,3.4,3.38,5.1,3.68
Portugal,LigaPro 2017/2018,U. Madeira - Braga B,"Sunday, 14 Jan 2018, 15:00",1:1,Pinnacle,2.1,2.14,3.3,3.36,3.99,3.72
Ukraine,Premier League 2019/2020,Shakhtar Donetsk - Olimpik Donetsk,"Friday, 06 Dec 2019, 17:00",3:0,Asianodds,1.09,1.14,9.89,7.61,24.82,18.91
Ukraine,Premier League 2019/2020,Shakhtar Donetsk - Olimpik Donetsk,"Friday, 06 Dec 2019, 17:00",3:0,Marathonbet,1.09,1.15,10.5,7.7,23.0,17.75
Ukraine,Premier League 2019/2020,Shakhtar Donetsk - Olimpik Donetsk,"Friday, 06 Dec 2019, 17:00",3:0,Pinnacle,1.09,1.14,9.89,7.61,24.82,18.91
Norway,Tippeligaen 2012,Rosenborg - Aalesund,"Sunday, 05 Aug 2012, 19:00",3:0,Pinnacle,1.58,1.68,4.29,3.99,6.33,5.77
France,Ligue 2 2011/2012,Chateauroux - Le Mans,"Friday, 26 Aug 2011, 19:00",1:0,Pinnacle,2.61,2.75,3.16,3.07,3.03,2.97
Brazil,Série B 2014,Joinville - Sampaio Correa,"Wednesday, 06 Aug 2014, 01:00",3:1,Marathonbet,1.8,1.85,3.65,3.65,4.95,4.6
Brazil,Série B 2014,Joinville - Sampaio Correa,"Wednesday, 06 Aug 2014, 01:00",3:1,Pinnacle,1.88,2.07,3.56,3.4,4.51,3.95
England,League One 2014/2015,Colchester - Oldham,"Saturday, 09 Aug 2014, 15:00",2:2,Marathonbet,2.65,2.7,3.35,3.35,2.82,2.8
England,League One 2014/2015,Colchester - Oldham,"Saturday, 09 Aug 2014, 15:00",2:2,Pinnacle,2.57,2.65,3.37,3.35,2.9,2.86
Belgium,Jupiler League 2013/2014,KV Mechelen - Mons,"Saturday, 21 Sep 2013, 19:00",4:2,Marathonbet,1.94,1.82,3.6,3.85,4.3,4.6
Belgium,Jupiler League 2013/2014,KV Mechelen - Mons,"Saturday, 21 Sep 2013, 19:00",4:2,Pinnacle,1.82,1.76,3.88,4.0,4.49,4.85
Russia,Premier League 2019/2020,Akhmat Grozny - Ufa,"Saturday, 07 Dec 2019, 16:00",0:1,Asianodds,2.07,2.3,3.15,2.9,3.55,3.95
Russia,Premier League 2019/2020,Akhmat Grozny - Ufa,"Saturday, 07 Dec 2019, 16:00",0:1,Marathonbet,2.54,2.28,3.1,2.88,3.0,3.8
Russia,Premier League 2019/2020,Akhmat Grozny - Ufa,"Saturday, 07 Dec 2019, 16:00",0:1,Pinnacle,2.16,2.28,3.11,2.9,3.99,3.88
Germany,3. Liga 2017/2018,Chemnitzer - Erfurt,"Friday, 27 Oct 2017, 17:00",1:0,Asianodds,1.97,1.69,3.3,3.96,3.7,5.35
Germany,3. Liga 2017/2018,Chemnitzer - Erfurt,"Friday, 27 Oct 2017, 17:00",1:0,Marathonbet,2.0,1.69,3.56,3.94,4.0,5.4
Germany,3. Liga 2017/2018,Chemnitzer - Erfurt,"Friday, 27 Oct 2017, 17:00",1:0,Pinnacle,2.0,1.69,3.54,3.96,4.03,5.35
Slovenia,Prva liga 2017/2018,Celje - Maribor,"Saturday, 25 Nov 2017, 19:20",2:1,Asianodds,4.85,5.08,3.55,3.8,1.58,1.72
Slovenia,Prva liga 2017/2018,Celje - Maribor,"Saturday, 25 Nov 2017, 19:20",2:1,Marathonbet,6.1,4.15,4.5,3.95,1.5,1.79
Slovenia,Prva liga 2017/2018,Celje - Maribor,"Saturday, 25 Nov 2017, 19:20",2:1,Pinnacle,5.9,5.08,3.73,3.8,1.66,1.72
USA,MLS 2019,DC United - Real Salt Lake,"Sunday, 17 Mar 2019, 00:00",5:0,Asianodds,1.81,1.66,3.75,4.21,4.48,5.15
USA,MLS 2019,DC United - Real Salt Lake,"Sunday, 17 Mar 2019, 00:00",5:0,Marathonbet,1.93,1.64,3.75,4.15,3.78,5.05
USA,MLS 2019,DC United - Real Salt Lake,"Sunday, 17 Mar 2019, 00:00",5:0,Pinnacle,1.81,1.65,3.75,4.21,4.48,5.15
